Comment,Designator,Footprint,LCSC,Quantity
1uf,C10,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1uf,C9,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
Conn_01x20,J4,Molex_SL_171971-0020_1x20_P2.54mm_Vertical,,1
10uf,C14,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
33pF,C15,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,,1
0.1uf,C12,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
Conn_01x20,J3,Molex_SL_171971-0020_1x20_P2.54mm_Vertical,,1
27,R3,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
10uf,C13,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C3,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,1
10k,R7,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
Conn_01x03,J2,PinHeader_1x03_P2.54mm_Vertical,,1
1k,R6,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C4,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
SW_Push,SW1,SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,,1
0.1uf,C8,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C5,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,1
5.1k,R2,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
Crystal_GND24,Y1,Crystal_SMD_0603-4Pin_6.0x3.5mm_HandSoldering,,1
0.1uf,C1,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C6,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C17,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
5.1k,R1,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
33pF,C16,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C2,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C11,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
0.1uf,C7,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
1k,R5,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
W25Q128JVS,U3,SOIC-8_5.3x5.3mm_P1.27mm,,1
27,R4,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,,1
