Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.215,-47.63,180.0,top
C10,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,107.9925,-44.53,0.0,top
C11,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,107.9675,-45.3,0.0,top
C12,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,107.95,-46.11,0.0,top
C13,10uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,133.3475,-48.4,180.0,top
C14,10uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.15,-42.22,180.0,top
C15,33pF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,107.9625,-42.78,180.0,top
C16,33pF,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,108.0075,-43.58,180.0,top
C17,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.21,-48.4,180.0,top
C2,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.1625,-46.78,180.0,top
C3,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.155,-45.95,180.0,top
C4,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.175,-44.98,180.0,top
C5,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.18,-44.07,180.0,top
C6,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.155,-42.97,180.0,top
C7,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.16,-41.43,180.0,top
C8,0.1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.165,-40.67,180.0,top
C9,1uf,C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.155,-39.88,180.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,148.68,-43.87,90.0,top
J2,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,92.0,-43.25,0.0,top
J3,Conn_01x20,Molex_SL_171971-0020_1x20_P2.54mm_Vertical,117.49,-35.0,180.0,top
J4,Conn_01x20,Molex_SL_171971-0020_1x20_P2.54mm_Vertical,117.3,-53.39,180.0,top
R1,5.1k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,142.8575,-48.19,0.0,top
R2,5.1k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,143.95,-39.4525,-90.0,top
R3,27,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,142.2,-39.4525,90.0,top
R4,27,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,141.15,-39.44,90.0,top
R5,1k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,109.25,-43.07,-90.0,top
R6,1k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,97.0725,-38.65,0.0,top
R7,10k,R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,99.1625,-39.1,0.0,top
SW1,SW_Push,SW_PUSH_1P1T_6x3.5mm_H5.0_APEM_MJTP1250,96.22,-44.19,90.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,114.95,-43.8,-90.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,136.08,-44.28,0.0,top
U3,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,127.56,-44.12,-90.0,top
Y1,Crystal_GND24,Crystal_SMD_0603-4Pin_6.0x3.5mm_HandSoldering,104.08,-44.32,-90.0,top
